Facility ID,Facility Name,Short Description,Description,Facility Open Date,Facility Address 1,Facility Address 2,Facility City,Facility State,Facility Zip Code,Facility Phone Number,Facility Fax Number,Facility Website,Facility County Code,Facility County,Regional Office ID,Regional Office,Main Site Name,Main Site Facility ID,Operating Certificate Number,Operator Name,Operator Address 1,Operator Address 2,Operator City,Operator State,Operator Zip Code,Cooperator Name,Cooperator Address,Cooperator Address 2,Cooperator City,Cooperator State,Cooperator Zip Code,Ownership Type,Facility Latitude,Facility Longitude,Facility Location
12786,Harmony Home Care,LHCSA,Licensed Home Care Services Agency,03/06/2006,115 West 30th Street,Room 800,New York,New York,10001,7187087977,7187087959,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,1157L001,"Besure Home Health Services Agency, Inc.",115 West 30th Street,Room 800,New York,New York,10001,,,,,New York,,Business Corporation,,,
15375,Coterie Hudson Yards,EHP,Enriched Housing Program,12/16/2022,505 West 35th Street,,New York,New York,10001,9295812050,9295812051,https://coterieseniorliving.com/luxury-retirement-communities/coterie-hudson-yar,7093,New York,5,Metropolitan Area Regional Office - New York City,,,420-S-401,"Atria NY Operating Company, Inc.",300 E. Market St.,Ste. 100,Louisville,New York,40202,,,,,New York,,LLC,,,
15707,Peakpoint Flatiron Surgery Center,DTC,Diagnostic and Treatment Center,10/30/2024,16 West 25th Street,,New York,New York,10010,2125168211,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002827R,Peakpoint Flatiron LLC,16 West 25th Street,,New York,New York,10010,,,,,New York,,LLC,,,
13541,Care Universal Inc,LHCSA,Licensed Home Care Services Agency,10/15/2019,57 West 57th Street,4th Floor,New York,New York,10019,3472820458,9146992649,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,2517L001,Care Universal Inc,57 West 57th Street,4th Floor,New York,New York,10019,,,,,New York,,Business Corporation,40.764392,-73.976776,"(40.764392, -73.976776)"
1601,Henry J. Carter Skilled Nursing Facility,NH,Residential Health Care Facility - SNF,02/01/1980,1752 Park Avenue,,New York,New York,10035,6466860057,6466860081,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002337N,New York City Health and Hospital Corporation,125 Worth Street,,New York,New York,10013,,,,,New York,,Municipality,40.802979,-73.940811,"(40.802979, -73.940811)"
13928,"Affable Home Care, Inc.",LHCSA,Licensed Home Care Services Agency,08/10/1998,1674 Broadway,Ste 502,New York,New York,10019,7188509445,7188509446,www.affablehomecare.com,7093,New York,5,Metropolitan Area Regional Office - New York City,,,9899L001,"Affable Home Care, Inc.",1674 Broadway,Ste 502,New York,New York,10019,,,,,New York,,Business Corporation,40.76301,-73.98296,"(40.76301, -73.98296)"
6844,Planned Parenthood Project Street Beat Mobile Health Center,,Mobile Diagnostic and Treatment Center Extension Clinic,01/13/2006,26 Bleecker Street,,New York,New York,10012,2129654839,2129656996,,7093,New York,5,Metropolitan Area Regional Office - New York City,Planned Parenthood Margaret Sanger Center,1543,7002273R,"Planned Parenthood of Greater New York, Inc.",26 Bleeker Street,,New York,New York,10012,,,,,New York,,Not for Profit Corporation,40.725521,-73.993538,"(40.725521, -73.993538)"
15729,Weill Cornell Imaging at NewYork-Presbyterian at 66 Hudson Yards,DTC-EC,Diagnostic and Treatment Center Extension Clinic,01/02/2025,66 Hudson Boulevard,,New York,New York,10001,2122973906,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Weill Cornell Imaging at New York Presbyterian,8533,7002188R,Weill Cornell Imaging at New York Presbyterian,"520 East 70th Street, Level J-0",,New York,New York,10021,,,,,New York,,Not for Profit Corporation,,,
13209,Freedomcare,LHCSA,Licensed Home Care Services Agency,02/11/2014,127 West 30th Street,9th Floor,New York,New York,10001,2126559525,7188732604,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,1957L001,"Evergreenchoice, LLC",127 West 30th Street,9th Floor,New York,New York,10001,,,,,New York,,LLC,,,
9139,Midtown Surgery Center,DTC,Diagnostic and Treatment Center,02/19/2010,1210 Second Avenue,,New York,New York,10017,2127512100,2127512101,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002193R,"Midtown Surgery Center, LLC",3 Dag Hammarskjold Plaza,305 Easst 47th Street,New York,New York,10017,,,,,New York,,LLC,40.763335,-73.961856,"(40.763335, -73.961856)"
7078,Columbia University Health Care Inc,DTC,Diagnostic and Treatment Center,06/15/1997,630 West 168th Street,,New York,New York,10032,2123059904,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002157R,"Columbia University Health Care, Inc",630 West 168th Street,,New York,New York,10032,,,,,New York,,Not for Profit Corporation,40.84153,-73.940964,"(40.84153, -73.940964)"
1447,Hospital for Special Surgery,HOSP,Hospital,01/01/1901,535 E 70th Street,,New York,New York,10021,2126061236,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002012H,NY Society for the Relief of The Ruptured & Crippled,535 East 70th St,,New York,New York,10021,,,,,New York,,Not for Profit Corporation,40.765381,-73.954185,"(40.765381, -73.954185)"
4428,NYU Langone Hassenfeld and Fink Children's Center,HOSP-EC,Hospital Extension Clinic,01/01/1998,160 East 32nd Street,,New York,New York,10016,2122638400,,,7093,New York,5,Metropolitan Area Regional Office - New York City,NYU Langone Hospitals,1463,7002053H,NYU Langone Hospitals,550 First Avenue,,New York,New York,10016,,,,,New York,,Not for Profit Corporation,40.744732,-73.979897,"(40.744732, -73.979897)"
9110,PS 811 M,HOSP-SB,School Based Hospital Extension Clinic,02/01/2010,461 1st Avenue,,New York,New York,10010,,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Bellevue Hospital Center,1438,7002001H,New York City Health and Hospital Corporation,125 Worth Street,,New York,New York,10013,,,,,New York,,Municipality,40.739609,-73.976669,"(40.739609, -73.976669)"
6820,Mobile Medical Unit,DTC-EC,Diagnostic and Treatment Center Extension Clinic,01/23/2006,8 East Third Street,,New York,New York,10003,2125338400,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Project Renewal,7676,7002161R,Project Renewal Inc,200 Varick Street,,New York,New York,10014,,,,,New York,,Not for Profit Corporation,40.726082,-73.991211,"(40.726082, -73.991211)"
9310,HSS Physiatry & Pain Management,HOSP-EC,Hospital Extension Clinic,11/23/2011,429 East 75th Street,,New York,New York,10021,2126061231,2125700648,,7093,New York,5,Metropolitan Area Regional Office - New York City,Hospital for Special Surgery,1447,7002012H,NY Society for the Relief of The Ruptured & Crippled,535 East 70th St,,New York,New York,10021,,,,,New York,,Not for Profit Corporation,40.769276,-73.953278,"(40.769276, -73.953278)"
3095,Greenwich House Counseling Center,DTC-EC,Diagnostic and Treatment Center Extension Clinic,08/17/1983,122 West 27th Street,,New York,New York,10001,2126911119,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Greenwich House Methadone,2941,7002287R,Co-Operative Social Settlement Society of New York City,27 Barrow Street,,New York,New York,10014,,,,,New York,,Not for Profit Corporation,40.745731,-73.991859,"(40.745731, -73.991859)"
12663,The First Chinese Presbyterian Community Affairs Home Attendant Corp.,LHCSA,Licensed Home Care Services Agency,06/28/1999,100 East Broadway,Floor 4,New York,New York,10002,2122264910,6468560658,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,0870L001,The First Chinese Presbyterian Community Affairs Home Attendant Corp.,100 East Broadway,Floor 4,New York,New York,10002,,,,,New York,,Not for Profit Corporation,,,
1463,NYU Langone Hospitals,HOSP,Hospital,06/17/1980,550 First Avenue,,New York,New York,10016,2122635500,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002053H,NYU Langone Hospitals,550 First Avenue,,New York,New York,10016,,,,,New York,,Not for Profit Corporation,40.742874,-73.974159,"(40.742874, -73.974159)"
15391,HSS Pediatric Rehabilitation Outpatient Center,HOSP-EC,Hospital Extension Clinic,01/05/2023,510 East 74th Street,,New York,New York,10021,,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Hospital for Special Surgery,1447,7002012H,NY Society for the Relief of The Ruptured & Crippled,535 East 70th St,,New York,New York,10021,,,,,New York,,Not for Profit Corporation,,,
13572,Comfort Keepers,LHCSA,Licensed Home Care Services Agency,08/16/2018,1120 Avenue Of The Americas,4th Floor,New York,New York,10036,2122213262,6465712127,www.comfortkeepersnyc949.com,7093,New York,5,Metropolitan Area Regional Office - New York City,,,2575L001,"L.A.M. Care, Inc.",1120 Avenue Of The Americas,4th Floor,New York,New York,10036,,,,,New York,,Business Corporation,40.75555,-73.983489,"(40.75555, -73.983489)"
13456,Manhattan Office Of Griswold Home Care,LHCSA,Licensed Home Care Services Agency,07/24/2017,146 West 95th Street,Suite 1b,New York,New York,10025,2122220500,2122220525,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,2360L001,K-Reg Llc,146 West 95th Street,Suite 1b,New York,New York,10025,,,,,New York,,LLC,40.792663,-73.969762,"(40.792663, -73.969762)"
1816,Visiting Nurse Service of NY Home Care/ VNS Health Home Care,CHHA,Certified Home Health Agency,01/15/2002,"220 E 42nd Street, 6th Floor",,New York,New York,10017,2126097300,2122900751,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002655,Visiting Nurse Service of New York Home Care II,220 E 42nd Street,,New York,New York,10017,,,,,New York,,Not for Profit Corporation,40.749766,-73.973186,"(40.749766, -73.973186)"
6908,"Gramercy Surgery Center, Inc",DTC,Diagnostic and Treatment Center,12/06/2006,"380 2nd Avenue, Suite 1000",,New York,New York,10010,2122545350,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002183R,"Gramercy Surgery Center, Inc","380 2nd Avenue, Suite 1000",,New York,New York,10010,,,,,New York,,Business Corporation,40.737343,-73.981209,"(40.737343, -73.981209)"
6308,Haven Dialysis,DTC-EC,Diagnostic and Treatment Center Extension Clinic,11/02/2001,60 Haven Ave,,New York,New York,10032,,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Utica Avenue Dialysis Clinic,5652,7001276R,"Empire State DC, Inc",1305 Utica Avenue,,Brooklyn,New York,11203,,,,,New York,,Business Corporation,40.843445,-73.942924,"(40.843445, -73.942924)"
10068,"Sun River Health Sidney R. Baer, Jr.",DTC-EC,Diagnostic and Treatment Center Extension Clinic,08/04/2017,347 West 37th Street,,New York,New York,10018,,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Sun River Health,1040,5901200R,"Sun River Health Care, Inc.",1037 Main Street,,Peekskill,New York,10566,,,,,New York,,Not for Profit Corporation,40.755128,-73.993941,"(40.755128, -73.993941)"
14859,Alma Rangel Gardens NY Foundation EHP#7,EHP,Enriched Housing Program,08/30/2002,55 West 137th Street,,New York,New York,10037,9175071108,9175071560,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,420-S-381,"New York Foundation for Senior Citizens, Inc.","11 Park Place, 14th Floor",,New York,New York,10007-2801,,,,,New York,,Not for Profit Corporation,40.815085,-73.93856,"(40.815085, -73.93856)"
15615,Columbia University Health Care Mobile Van,,School Based Diagnostic and Treatment Center Extension Clinic,05/12/2023,5122 Broadway,,New York,New York,10034,,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Columbia University Health Care Inc,7078,7002157R,"Columbia University Health Care, Inc",630 West 168th Street,,New York,New York,10032,,,,,New York,,Not for Profit Corporation,,,
3454,New York University Dental Center,DTC,Diagnostic and Treatment Center,02/05/1992,345 East 24th Street,,New York,New York,10010,2129989930,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002139R,New York University Dental Center,345 East 24th Street,,Ny,New York,10010,,,,,New York,,Not for Profit Corporation,40.737877,-73.978661,"(40.737877, -73.978661)"
13038,"Xincon Home-Healthcare Services, Inc.",LHCSA,Licensed Home Care Services Agency,10/13/2008,20 West 33rd Street,Unit 2006A,New York,New York,10001,2125609218,2125609229,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,1669L001,"Xincon Home-Healthcare Services, Inc.",20 West 33rd Street,Unit 2006A,New York,New York,10001,,,,,New York,,Business Corporation,,,
10111,Medalliance Medical Health Services-Washington Heights,DTC-EC,Diagnostic and Treatment Center Extension Clinic,09/29/2016,5041 Broadway,,New York,New York,10034,,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Medalliance Medical Health Services,6672,7000267R,"Medalliance Medical Health Services, Inc.",625 East Fordham Road,,Bronx,New York,10458,,,,,New York,,Business Corporation,40.86969,-73.916266,"(40.86969, -73.916266)"
6773,CUHC Mobile Unit,,School Based Diagnostic and Treatment Center Extension Clinic,02/22/2005,78 Old Broadway,,New York,New York,10027,2123058527,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Columbia University Health Care Inc,7078,7002157R,"Columbia University Health Care, Inc",630 West 168th Street,,New York,New York,10032,,,,,New York,,Not for Profit Corporation,,,
10347,West 17th Street Family Health Center,DTC-EC,Diagnostic and Treatment Center Extension Clinic,10/21/2019,230 West 17th Street,,New York,New York,10011,,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Family Health Center of Harlem,9375,7002137R,"Institute for Family Health, Inc.",16 East 16th Street,,New York,New York,10003,,,,,New York,,Not for Profit Corporation,40.740895,-73.999835,"(40.740895, -73.999835)"
9262,NYU Langone Ambulatory Care Services,HOSP-EC,Hospital Extension Clinic,12/20/2011,324 East 23rd Street,,New York,New York,10010,2125986154,2125986186,,7093,New York,5,Metropolitan Area Regional Office - New York City,NYU Langone Hospitals,1463,7002053H,NYU Langone Hospitals,550 First Avenue,,New York,New York,10016,,,,,New York,,Not for Profit Corporation,40.73735,-73.979767,"(40.73735, -73.979767)"
8503,Retinal Ambulatory Surgery Center of New York Inc,DTC,Diagnostic and Treatment Center,08/03/2007,138140 East 80th Street,,New York,New York,10075,2127726830,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002186R,"Ben Z. Cohen, MD",138140 East 80th Street,,New York,New York,10075,,,,,New York,,Business Corporation,40.775749,-73.958801,"(40.775749, -73.958801)"
10394,Murry Bergtraum High School Campus,,School Based Diagnostic and Treatment Center Extension Clinic,02/10/2020,"411 Pearl Street, Room 500",,New York,New York,10038,,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Family Health Center of Harlem,9375,7002137R,"Institute for Family Health, Inc.",16 East 16th Street,,New York,New York,10003,,,,,New York,,Not for Profit Corporation,40.7111,-74.001767,"(40.7111, -74.001767)"
6998,New Alternatives for Children Inc,DTC,Diagnostic and Treatment Center,08/09/2007,825 7th Avenue,,New York,New York,10019,6463529068,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002185R,New Alternatives for Children Inc,37 West 26th Street,,New York,New York,10010,,,,,New York,,Not for Profit Corporation,,,
1486,Henry J. Carter Specialty Hospital,HOSP,Hospital,01/01/1901,1752 Park Avenue,,New York,New York,10035,2123188000,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002050H,New York City Health and Hospital Corporation,125 Worth Street,,New York,New York,10013,,,,,New York,,Municipality,40.802979,-73.940811,"(40.802979, -73.940811)"
644,Gouverneur Clinic,HOSP-EC,Hospital Extension Clinic,02/01/1980,109 Delancey St,,New York,New York,10002,2124202873,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Mount Sinai Beth Israel,1439,7002002H,Beth Israel Medical Center Inc,10 Nathan Perlman Place,,New York,New York,10003,"Mount Sinai Hospitals Group, Inc.",One Gustave L. Levy Place,,New York,New York,10029,Not for Profit Corporation,40.718433,-73.988365,"(40.718433, -73.988365)"
5560,George Washington High School,HOSP-SB,School Based Hospital Extension Clinic,01/01/2003,549 Audubon Avenue,,New York,New York,10034,2129272427,,,7093,New York,5,Metropolitan Area Regional Office - New York City,New York-Presbyterian Hospital - New York Weill Cornell Center,1458,7002054H,The New York and Presbyterian Hospital,622 West 168th Street,,New York,New York,10032,,,,,New York,,Not for Profit Corporation,40.855942,-73.926987,"(40.855942, -73.926987)"
6217,PS 188,,School Based Diagnostic and Treatment Center Extension Clinic,09/11/2000,442 East Houston St,,New York,New York,10007,2124778868,,,7093,New York,5,Metropolitan Area Regional Office - New York City,William F. Ryan Community Health Center,1529,7002243R,William F Ryan Community Health Center Inc,110 West 97th Street,,New York,New York,10025,,,,,New York,,Not for Profit Corporation,40.719692,-73.977806,"(40.719692, -73.977806)"
8560,Lenox Hill Hospital Extension Clinic at MEETH,HOSP-EC,Hospital Extension Clinic,01/26/2006,210 East 64th Street,,New York,New York,10021,,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Lenox Hill Hospital,1450,7002017H,Lenox Hill Hospital,100 East 77 Street,,New York,New York,10021,"Northwell Healthcare, Inc.",2000 Marcus Ave.,,New Hyde Park,New York,11042,Not for Profit Corporation,40.764416,-73.963821,"(40.764416, -73.963821)"
6288,Ryan/Chelsea-Clinton Community Health Center,DTC,Diagnostic and Treatment Center,09/05/2001,645 Tenth Ave,,New York,New York,10036,2122654500,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002169R,"Ryan/Chelsea-Clinton Community Health Center, Inc.",645 Tenth Ave,,New York,New York,10036,,,,,New York,,Not for Profit Corporation,40.76181,-73.99395,"(40.76181, -73.99395)"
15335,NY Endovascular Center LLC,DTC,Diagnostic and Treatment Center,08/16/2022,505 East 116th Street,,New York,New York,10029,6467912274,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002823R,NY Endovascular Center LLC,505 East 116th Street,,New York,New York,10029,,,,,New York,,LLC,,,
6028,Washington Heights ACNC-Audubon,HOSP-EC,Hospital Extension Clinic,12/31/2002,21 Audubon Avenue,,New York,New York,10032,2123423200,,,7093,New York,5,Metropolitan Area Regional Office - New York City,New York-Presbyterian Hospital - New York Weill Cornell Center,1458,7002054H,The New York and Presbyterian Hospital,622 West 168th Street,,New York,New York,10032,,,,,New York,,Not for Profit Corporation,40.839462,-73.939034,"(40.839462, -73.939034)"
9442,"Lafayette Medical Approach, LLC",DTC,Diagnostic and Treatment Center,01/08/2013,233 Lafayette Street,,New York,New York,10012,2124316177,2129667160,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002197R,"Lafayette Medical Approach, LLC",233 Lafayette Street,,New York,New York,10012,,,,,New York,,LLC,40.722435,-73.996964,"(40.722435, -73.996964)"
10140,WCINYP at 53 Beekman,DTC-EC,Diagnostic and Treatment Center Extension Clinic,03/23/2018,53 Beekman Street,,New York,New York,10038,,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Weill Cornell Imaging at New York Presbyterian,8533,7002188R,Weill Cornell Imaging at New York Presbyterian,"520 East 70th Street, Level J-0",,New York,New York,10021,,,,,New York,,Not for Profit Corporation,40.709961,-74.005252,"(40.709961, -74.005252)"
6164,"Chinatown Dialysis Center, LLC",DTC,Diagnostic and Treatment Center,04/01/2003,213 Hester Street,,New York,New York,10013,2129250404,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002171R,"Chinatown Dialysis Center, LLC",150 Lafayette Street,,New York,New York,10012,,,,,New York,,LLC,40.718533,-73.998856,"(40.718533, -73.998856)"
13461,"Friends & Family Home Care Services, Llc",LHCSA,Licensed Home Care Services Agency,05/31/2018,2414 Amsterdam Avenue,,New York,New York,10033,2124760905,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,2368L001,"Friends & Family Home Care Services, Llc",2414 Amsterdam Avenue,,New York,New York,10033,,,,,New York,,LLC,,,
9375,Family Health Center of Harlem,DTC,Diagnostic and Treatment Center,03/29/2012,1824 Madison Avenue,,New York,New York,10034,2126330800,2126914610,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002137R,"Institute for Family Health, Inc.",16 East 16th Street,,New York,New York,10003,,,,,New York,,Not for Profit Corporation,40.801773,-73.943626,"(40.801773, -73.943626)"
8615,Carnegie Hill of New York,DTC,Diagnostic and Treatment Center,06/27/2008,116 East 92nd Street,,New York,New York,10128,2122897166,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002190R,"Carnegie Hill Institute, Inc",116 East 92nd Street,,New York,New York,10010,,,,,New York,,Business Corporation,40.783539,-73.953506,"(40.783539, -73.953506)"
14863,Vista on 5th,EHP,Enriched Housing Program,09/06/2000,1261 Fifth Avenue,,New York,New York,10029,2125346464,6468548568,Vistaon5th.org#http://Vistaon5th.org#,7093,New York,5,Metropolitan Area Regional Office - New York City,,,420-S-395,Vista on 5th Corp.,1261 Fifth Avenue,,New York,New York,10029,,,,,New York,,Not for Profit Corporation,40.795262,-73.949974,"(40.795262, -73.949974)"
14853,Inspir Carnegie Hill,AH,Adult Home,02/26/2021,1802 2nd Avenue,,New York,New York,10128,6469789040,3323221227,www.inspirseniorliving.com/carnegie-hill#http://www.inspirseniorliving.com/carne,7093,New York,5,Metropolitan Area Regional Office - New York City,,,420-F-381,"Inspir Carnegie Hill, LLC",One Gorham Island,,Westport,New York,6880,,,,,New York,,LLC,40.782372,-73.948109,"(40.782372, -73.948109)"
4721,P.S. 5,,School Based Diagnostic and Treatment Center Extension Clinic,05/18/1993,3703 10th Ave at Dyckman Street,,New York,New York,10034,2129494379,,,7093,New York,5,Metropolitan Area Regional Office - New York City,The Children's Aid Society,6447,7002233R,The Childrens Aid Society,356 East 88 Street,,New York,New York,10028,,,,,New York,,Not for Profit Corporation,40.858968,-73.922869,"(40.858968, -73.922869)"
9905,Settlement Health Plaza South,DTC-EC,Diagnostic and Treatment Center Extension Clinic,04/04/2016,345 East 102nd Street 4th Floor,,New York,New York,10029,,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Settlement Health,1492,7002105R,Settlement Health,314 East 104 Street,,New York,New York,10029,,,,,New York,,Not for Profit Corporation,,,
10095,Wards Island Family Health Center,DTC-EC,Diagnostic and Treatment Center Extension Clinic,10/31/2017,13 Hell Gate Circle,,New York,New York,10035,,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Damian Family Care Center,6067,7003246R,"Damian Family Care Centers, Inc.","89-56 162nd Street, 3rd Floor",,Jamaica,New York,11432,,,,,New York,,Not for Profit Corporation,40.789506,-73.933804,"(40.789506, -73.933804)"
